date,first_or_second,result
2016-12-24,後,○
2017-01-26,先,○
2017-02-09,後,○
2017-02-23,先,○
2017-02-23,先,○
2017-02-23,先,○
2017-03-01,後,○
2017-03-10,後,○
2017-03-16,先,○
2017-03-23,先,○
2017-04-04,後,○
2017-04-13,先,○
2017-04-17,後,○
2017-04-26,後,○
2017-05-01,後,○
2017-05-04,後,○
2017-05-12,後,○
2017-05-18,後,○
2017-05-25,後,○
2017-06-02,先,○
2017-06-07,先,○
2017-06-07,先,○
2017-06-07,先,○
2017-06-10,後,○
2017-06-10,後,○
2017-06-15,後,○
2017-06-17,後,○
2017-06-21,先,○
2017-06-26,先,○
2017-07-02,後,●
2017-07-06,先,○
2017-07-11,後,○
2017-07-21,後,●
2017-07-24,先,○
2017-07-24,後,○
2017-07-27,先,○
2017-08-04,後,●
2017-08-10,後,○
2017-08-15,後,○
2017-08-22,後,○
2017-08-22,後,○
2017-08-24,後,●
2017-09-02,後,●
2017-09-03,後,○
2017-09-07,後,●
2017-09-14,先,○
2017-09-20,先,○
2017-09-22,先,○
2017-09-22,先,●
2017-09-27,後,○
2017-10-06,先,○
2017-10-09,後,○
2017-10-09,先,○
2017-10-12,後,○
2017-10-19,後,○
2017-11-02,後,○
2017-11-13,後,●
2017-11-21,後,○
2017-11-24,先,○
2017-11-29,先,●
2017-12-07,先,○
2017-12-15,後,○
2017-12-15,後,○
2017-12-23,先,●
2017-12-28,先,○
2018-01-06,先,●
2018-01-11,後,○
2018-01-14,後,○
2018-01-14,先,○
2018-01-19,先,○
2018-01-25,先,○
2018-02-01,後,○
2018-02-05,後,○
2018-02-08,後,○
2018-02-14,先,○
2018-02-17,先,○
2018-02-17,先,○
2018-02-23,後,○
2018-03-01,先,○
2018-03-08,先,○
2018-03-15,先,○
2018-03-22,先,○
2018-03-28,後,●
2018-04-05,先,○
2018-04-10,後,○
2018-04-24,先,○
2018-05-07,後,○
2018-05-18,後,○
2018-06-01,先,○
2018-06-05,後,○
2018-06-11,後,●
2018-06-22,後,○
2018-06-25,後,○
2018-06-29,後,●
2018-07-03,先,○
2018-07-06,後,●
2018-07-18,後,○
2018-07-20,後,○
2018-07-28,後,○
2018-07-31,先,○
2018-08-11,先,○
2018-08-24,後,○
2018-08-28,後,○
2018-08-31,後,○
2018-09-03,後,●
2018-09-14,先,●
2018-09-17,先,○
2018-09-17,後,○
2018-09-25,後,○
2018-10-10,後,○
2018-10-17,先,○
2018-10-23,先,○
2018-10-31,先,○
2018-10-31,先,○
2018-11-20,後,○
2018-11-23,後,●
2018-12-12,後,○
2018-12-12,先,○
2018-12-18,後,○
2018-12-25,後,○
2018-12-28,後,○
2019-01-08,先,○
2019-01-20,後,○
2019-01-20,後,○
2019-01-24,後,○
2019-01-30,後,○
2019-02-05,先,●
2019-02-12,先,○
2019-02-16,後,○
2019-02-16,後,○
2019-02-19,先,○
2019-02-19,先,○
2019-03-05,後,○
2019-03-08,後,○
2019-03-11,後,●
2019-03-27,後,○
2019-04-12,後,○
2019-04-19,先,○
2019-04-19,先,○
2019-04-24,先,○
2019-05-09,後,○
2019-05-15,先,○
2019-05-23,後,●
2019-05-28,後,●
2019-05-31,後,○
2019-06-03,後,●
2019-06-11,後,○
2019-06-11,先,○
2019-06-18,後,○
2019-06-22,先,○
2019-06-24,後,○
2019-06-28,後,○
2019-07-02,先,○
2019-07-05,後,○
2019-07-08,後,●
2019-07-09,先,●
2019-07-18,先,○
2019-07-23,先,●
2019-08-06,後,○
2019-08-11,先,●
2019-08-22,後,○
2019-08-26,先,○
2019-08-29,後,●
2019-09-01,先,○
2019-09-03,後,○
2019-09-25,後,○
2019-09-30,先,○
2019-10-07,後,●
2019-10-15,先,○
2019-10-18,後,○
2019-10-21,後,○
2019-10-28,後,○
2019-11-05,先,○
2019-11-08,先,○
2019-11-14,先,○
2019-11-19,先,●
2019-12-03,後,○
2019-12-10,後,○
2019-12-17,先,○
2019-12-27,先,○
2020-01-07,先,○
2020-01-07,後,○
2020-01-16,先,○
2020-01-19,後,○
2020-01-19,先,○
2020-01-24,後,○
2020-01-28,先,○
2020-01-31,先,○
2020-02-04,先,○
2020-02-11,後,●
2020-02-18,先,○
2020-02-29,先,○
2020-03-03,後,○
2020-03-06,後,○
2020-03-09,後,●
2020-03-12,先,○
2020-03-16,後,○
2020-03-20,後,○
2020-03-24,先,○
2020-03-31,後,○
